Rank,Name,Symbol,Price,Change_1h,Change_24h,Change_7d,Change_30d,Volume_24h,Circulating_Supply,Total_Supply,Market_Cap
1121,POL Staked WBERASWBERA,,$2.47,0.1%,0.2%,14.9%,14.8%,"$9,216.18","10,236,632",10.24M,"$25,275,355"
1122,XIONXION,,$0.5955,0.0%,1.7%,11.7%,22.3%,"$8,467,399","42,398,847",200M,"$25,262,285"
1123,TreehouseTREE,,$0.1616,1.0%,2.0%,5.9%,43.7%,"$18,692,797","156,122,449",1B,"$25,243,237"
1124,RadworksRAD,,$0.5056,0.7%,0.4%,4.8%,18.7%,"$9,514,528","49,829,111",100M,"$25,193,669"
1125,Botanix Pegged BitcoinPBTC,,"$109,211",0.0%,1.6%,2.2%,3.7%,"$52,981.95",230,229.55,"$25,060,470"
1127,PufferPUFFER,,$0.08313,2.7%,2.3%,20.3%,55.2%,"$5,080,366","301,645,373",1B,"$25,043,890"
1126,tokenbotCLANKER,,$24.97,1.0%,3.2%,8.7%,23.2%,"$10,343,117","1,000,000",1M,"$24,972,508"
1128,OzapayOZA,,$0.03273,0.9%,4.8%,12.5%,-,"$131,868","759,590,014",996.89M,"$24,945,132"
1129,BlackholeBLACK,,$0.1345,0.5%,0.1%,21.4%,60.9%,"$1,501,018","184,051,478",185.43M,"$24,753,324"
1130,Injective Bridged USDT (Injective)USDT,,$0.8869,-,-,-,-,$996.13,"24,658,124",24.66M,"$21,868,740"
1132,PepecoinPEP,,$0.0002465,0.1%,2.2%,17.0%,25.1%,"$170,736","100,026,150,000",100.03B,"$24,651,375"
1131,IXSIXS,,$0.1368,0.3%,1.2%,29.3%,85.3%,"$131,872","180,000,000",180M,"$24,618,330"
1134,Sharp TokenSHARP,,$0.008265,1.5%,1.9%,2.3%,-,"$49,906.31","2,976,492,187",68.23B,"$24,599,073"
1133,OpenEdenEDEN,,$0.1336,1.3%,6.2%,18.4%,-,"$18,252,994","183,870,000",1B,"$24,585,137"
1138,PepeCoinPEPECOIN,,$0.2591,0.1%,3.6%,18.8%,31.9%,"$207,421","94,828,357",107.65M,"$24,562,404"
1137,SPDR S&P 500 ETF (Ondo Tokenized ETF)SPYON,,$668.06,0.2%,0.6%,0.1%,0.0%,"$398,075","36,689",36688.78,"$24,541,617"
1136,USUALxUSUALX,,$0.05001,0.3%,1.1%,0.5%,48.2%,"$25,647.01","490,241,157",490.24M,"$24,536,714"
1135,Ampleforth GovernanceFORTH,,$2.13,1.0%,1.3%,4.5%,14.4%,"$1,829,042","11,503,546",15.3M,"$24,530,548"
1139,Gnosis xDai Bridged WETH (Gnosis Chain)WETH,,"$3,865.64",0.4%,1.1%,4.1%,7.9%,"$1,105,053","6,312",6311.72,"$24,421,064"
1140,Impossible Finance LaunchpadIDIA,,$0.03259,0.1%,4.6%,22.8%,75.0%,"$45,872.74","748,389,160",1B,"$24,386,816"
1142,StaderSD,,$0.3693,1.3%,1.1%,9.9%,35.8%,"$2,823,680","65,807,825",120M,"$24,299,200"
1141,Plume USDPUSD,,$0.9984,0.0%,0.2%,0.3%,0.1%,"$552,370","24,331,588",24.33M,"$24,295,137"
1143,Lido Staked SOLSTSOL,,$228.50,0.3%,1.6%,2.0%,14.1%,"$142,276","106,156",106156.16,"$24,256,150"
1144,Gyroscope GYDGYD,,$1,0.2%,0.2%,0.1%,0.2%,"$122,331","24,208,960",24.21M,"$24,208,107"
1167,DexToolsDEXT,,$0.3416,0.2%,0.7%,2.9%,36.5%,"$109,240","70,776,062",112.55M,"$24,174,058"
1146,Mansory TokenMNSRY,,$0.02678,0.3%,3.6%,1.4%,0.6%,"$1,086,071","899,993,842",899.99M,"$24,133,291"
1145,TrueFiTRU,,$0.01816,0.6%,2.0%,10.5%,38.0%,"$10,167,862","1,329,345,686",1.34B,"$24,133,286"
1147,Midas mEDGEMEDGE,,$1.06,0.0%,0.0%,0.7%,1.3%,$27.78,"22,727,631",22.73M,"$24,003,002"
1149,Hylo Leveraged SOLXSOL,,$1.67,0.7%,3.0%,8.6%,-,"$174,865","14,307,693",14.31M,"$23,976,683"
1148,SyscoinSYS,,$0.0284,0.7%,1.3%,8.5%,21.5%,"$1,507,959","843,332,734",843.36M,"$23,960,729"
1150,ynETH MAXYNETHX,,"$4,084.68",0.5%,1.1%,4.2%,7.9%,"$1,080.47","5,864",5864.03,"$23,948,861"
1151,Solv ProtocolSOLV,,$0.01614,1.2%,3.3%,16.1%,60.6%,"$13,058,263","1,482,600,000",8.4B,"$23,944,647"
1231,SuperWalk GRNDGRND,,$0.03375,12.3%,1.2%,30.9%,20.3%,"$7,891,819","707,660,423",987.52M,"$23,944,142"
1153,Infinity GroundAIN,,$0.1291,0.3%,0.6%,6.4%,13.9%,"$3,293,803","185,300,000",1B,"$23,919,990"
1154,Coq InuCOQ,,$0.063445,0.9%,2.0%,3.7%,40.5%,"$10,220,035","69,420,000,000,000",69.42T,"$23,916,403"
1155,PinLinkPIN,,$0.2986,0.0%,4.5%,17.6%,40.6%,"$1,320,983","80,000,000",100M,"$23,868,806"
1152,OpenKaitoSN5,,$8.90,4.1%,4.8%,10.7%,7.8%,"$40,385.03","2,670,922",2.67M,"$23,865,856"
1157,Iron FishIRON,,$0.3542,1.1%,19.8%,35.9%,143.9%,"$1,525,144","67,400,792",67.47M,"$23,845,659"
1159,MAP ProtocolMAPO,,$0.003922,0.1%,0.9%,3.8%,9.4%,"$637,522","6,070,236,804",9.7B,"$23,817,919"
1158,Ninja Squad TokenNST,,$2.77,0.7%,3.3%,2.1%,7.6%,"$596,056","8,611,274",8.61M,"$23,813,662"
1161,Liquid MercuryMERC,,$0.007577,0.0%,29.1%,34.7%,136.0%,"$89,193.97","3,141,917,243",6B,"$23,804,938"
1160,SendSEND,,$0.07468,0.1%,0.5%,14.8%,713.3%,"$149,430","318,756,626",965.7M,"$23,803,614"
1162,ArAIstotleFACY,,$0.04281,4.7%,0.4%,13.8%,21.2%,"$1,515,657","555,774,000",1B,"$23,780,595"
1156,Fartboy$FARTBOY,,$0.02376,1.3%,2.1%,12.4%,42.5%,"$243,109","999,387,898",999.39M,"$23,747,494"
1168,FuzzybearFUZZY,,$0.00007472,0.3%,0.3%,81.9%,67.8%,"$115,201","317,770,791,934",321B,"$23,741,070"
1164,PofuPOFU,,$0.000237,0.1%,9.8%,34.1%,-,"$30,556.79","100,000,000,000",100B,"$23,715,938"
1163,MoboxMBOX,,$0.04736,0.9%,0.9%,12.0%,19.1%,"$4,756,716","500,322,467",550.32M,"$23,695,629"
1166,MyShellSHELL,,$0.08773,0.9%,2.0%,8.5%,28.6%,"$12,073,090","270,000,000",1B,"$23,687,105"
1165,Arena-ZA2Z,,$0.003893,1.2%,0.9%,1.0%,20.5%,"$5,749,492","6,113,719,996",9.15B,"$23,656,214"
1169,Milady Cult CoinCULT,,$0.0005116,0.2%,3.9%,7.5%,35.5%,"$3,280,407","45,832,276,898",100B,"$23,585,123"
1170,MORI COINMORI,,$0.02619,0.2%,4.6%,6.0%,42.2%,"$8,169,336","899,996,878",1000M,"$23,571,776"
1171,TokenFiTOKEN,,$0.007975,1.2%,1.1%,11.4%,34.0%,"$2,885,174","2,956,195,776",10B,"$23,564,138"
1174,ao ComputerAO,,$4.65,0.2%,5.3%,22.2%,35.6%,"$187,335","5,063,699",5.06M,"$23,534,789"
1172,Kofi AptosKAPT,,$3.12,0.8%,4.1%,10.8%,27.8%,"$263,113","7,528,369",7.52M,"$23,504,696"
1173,RSS3RSS3,,$0.02742,0.2%,0.4%,10.9%,29.0%,"$2,666,416","860,109,655",1.03B,"$23,483,770"
1175,Lisk Bridged wstETH (Lisk)WSTETH,,"$4,697.80",0.3%,1.1%,4.5%,7.6%,"$13,419.81","4,993",4992.7,"$23,454,198"
1177,DUSKDUSK,,$0.04669,1.2%,2.0%,9.1%,16.3%,"$3,506,908","500,000,000",500M,"$23,377,796"
1176,SkyAISKYAI,,$0.02338,1.6%,0.6%,12.9%,25.8%,"$10,345,425","1,000,000,000",1B,"$23,372,384"
1178,Orchid ProtocolOXT,,$0.03944,1.1%,1.5%,7.9%,19.9%,"$2,302,752","591,544,729",1B,"$23,332,358"
1181,BityuanBTY,,$0.03325,0.1%,0.8%,5.5%,26.4%,"$382,288","700,028,941",700.03M,"$23,274,292"
1182,FortaFORT,,$0.03718,0.5%,0.3%,11.9%,33.4%,"$823,937","625,484,416",1B,"$23,248,281"
1179,TownsTOWNS,,$0.01101,0.6%,4.4%,0.7%,49.0%,"$12,711,016","2,109,362,819",10.13B,"$23,248,001"
1183,OptioOPT,,$0.004071,0.7%,9.4%,5.4%,8.8%,"$8,464.81","5,705,713,255",7.47B,"$23,224,365"
1184,NATIX NetworkNATIX,,$0.0005714,0.7%,0.7%,4.6%,25.7%,"$395,810","40,564,288,076",99.53B,"$23,220,415"
1180,affineSN120,,$22.40,4.2%,5.2%,11.0%,-,"$92,207.48","1,031,449",1.03M,"$23,180,629"
1185,DIAMDIAM,,$0.01326,0.1%,1.5%,1.4%,6.8%,"$116,014","1,747,883,810",5.4B,"$23,178,903"
1186,OORTOORT,,$0.03718,0.5%,10.1%,9.4%,40.9%,"$1,782,118","621,260,981",2B,"$23,130,644"
1187,Renzo Restaked SOLEZSOL,,$232.66,0.2%,1.7%,2.7%,13.7%,"$225,387","99,278",99278.13,"$23,121,312"
1188,MubarakMUBARAK,,$0.02311,0.7%,0.7%,13.7%,31.8%,"$12,176,485","1,000,000,000",1B,"$23,106,877"
1189,Quai NetworkQUAI,,$0.03713,3.5%,3.3%,14.8%,13.7%,"$3,409,136","618,200,739",3B,"$23,039,260"
1190,AITVAITV,,$0.09165,0.1%,0.5%,2.1%,15.2%,"$4,045.12","250,902,409",1B,"$22,990,586"
1191,Layer3L3,,$0.02493,0.1%,1.4%,2.0%,16.3%,"$6,567,035","921,163,587",3.33B,"$22,975,445"
1192,TARS AITAI,,$0.03908,1.3%,1.4%,11.8%,29.5%,"$2,788,027","586,681,334",895M,"$22,927,384"
1193,MasterBOT$BOT,,$0.02255,2.0%,4.7%,67.4%,-,"$3,520,780","999,995,690",1000M,"$22,865,434"
1194,FusionistACE,,$0.2923,0.9%,0.6%,10.2%,40.9%,"$4,044,063","78,054,262",146.31M,"$22,830,725"
1196,Midas mAPOLLOMAPOLLO,,$1.04,0.0%,0.0%,0.3%,1.5%,$0.00,"21,890,554",21.89M,"$22,714,735"
1197,ZERAZERA,,$0.02259,0.9%,3.4%,8.1%,-,"$643,421","999,375,033",999.38M,"$22,697,656"
1195,CZ's DogBROCCOLI,,$0.02338,1.1%,0.9%,13.6%,28.4%,"$11,864,867","971,060,585",971.06M,"$22,701,128"
1198,Electronic USDEUSD,,$1.00,0.1%,0.1%,0.1%,0.1%,"$1,054,426","22,686,206",22.69M,"$22,694,143"
1218,RealREAL,,$0.02259,1.9%,1.5%,10.2%,-,"$1,524,196","999,999,619",1000M,"$22,589,647"
1204,YalaYALA,,$0.09164,1.1%,4.0%,9.0%,24.2%,"$10,114,564","246,360,000",1B,"$22,575,380"
1199,Maxi PayFi Strategy TokenMPST,,$0.9997,0.0%,0.0%,0.0%,0.0%,"$25,920.75","22,557,807",22.56M,"$22,548,896"
1201,GunzGUN,,$0.0187,1.6%,3.8%,14.1%,13.6%,"$5,382,697","1,204,500,000",10B,"$22,542,499"
1200,tao.botTAOBOT,,$0.2816,0.2%,2.6%,27.3%,15.8%,"$58,371.32","80,035,000",100M,"$22,528,958"
1203,Bridged USD Coin (Scroll)USDC,,$0.9979,0.1%,0.0%,0.1%,0.1%,"$940,112","22,522,100",22.52M,"$22,511,409"
1202,Zeus NetworkZEUS,,$0.06455,0.3%,3.3%,23.5%,50.2%,"$2,779,544","348,483,139",1000M,"$22,505,078"
1205,cBATCBAT,,$0.003582,0.7%,3.5%,9.5%,19.0%,$0.00,"6,254,590,422",6.25B,"$22,402,635"
1206,SOSANASOSANA,,$0.2518,9.3%,3.9%,11.5%,12.7%,"$9,663.26","88,888,888",88.89M,"$22,395,662"
1208,MitoMITO,,$0.2839,-,-,-,-,$1.39,"77,386,085",500M,"$21,973,625"
1209,MetaMUIMMUI,,$0.04704,0.3%,0.1%,0.6%,22.3%,"$840,592","475,875,184",800M,"$22,353,691"
1210,Thala APTTHAPT,,$3.16,0.9%,3.1%,8.4%,26.6%,"$92,602.64","7,075,140",7.08M,"$22,337,876"
1211,MitosisMITO,,$0.1101,0.7%,2.0%,6.0%,46.0%,"$5,140,941","202,411,971",1B,"$22,316,460"
1212,Staked USNSUSN,,$1.12,0.0%,0.1%,0.2%,0.9%,"$40,057.05","19,813,806",19.81M,"$22,287,493"
1214,Harmony Horizon Bridged USDC (Harmony)1USDC,,$1.00,-,0.0%,0.0%,624.2%,$2.10,"22,260,490",22.26M,"$22,342,811"
1213,NeonNEON,,$0.09282,0.8%,0.4%,2.0%,29.3%,"$1,323,163","239,465,431",1000M,"$22,246,124"
1215,ELYSIAEL,,$0.003268,0.0%,1.5%,3.5%,22.9%,"$279,331","6,803,300,705",6.8B,"$22,242,303"
1207,Coral ProtocolCORAL,,$0.002191,1.6%,2.8%,3.8%,16.8%,"$339,671","10,000,000,000",10B,"$22,184,747"
1216,DAO MakerDAO,,$0.08821,0.0%,0.8%,2.5%,20.1%,"$813,443","250,926,000",277.52M,"$22,175,240"
1217,HippiusSN75,,$8.13,0.1%,17.8%,22.3%,96.3%,"$8,924,448","2,726,995",2.73M,"$22,171,412"
1219,Unagi TokenUNA,,$0.03284,1.5%,13.2%,16.6%,36.7%,"$353,788","668,172,427",990.63M,"$22,143,005"
1220,XBorgXBG,,$0.1032,0.5%,1.2%,10.5%,47.7%,"$192,874","215,000,074",1B,"$22,136,214"
1221,Ski Mask DogSKI,,$0.02208,2.3%,3.4%,3.9%,40.9%,"$403,206","1,000,000,000",1B,"$22,060,116"
1223,BRACKYBRACKY,,$0.0002203,0.5%,1.8%,23.1%,102.8%,"$97,213.81","100,000,000,000",100B,"$22,019,216"
1222,LandWolfWOLF,,$0.00002441,0.5%,2.5%,15.7%,35.1%,"$1,751,469","902,159,505,150",902.16B,"$22,020,986"
1224,ThunderCoreTT,,$0.001716,0.2%,0.2%,9.4%,30.3%,"$916,078","12,783,705,742",12.78B,"$21,930,262"
1225,Ice Open NetworkICE,,$0.003237,1.5%,5.9%,11.7%,35.2%,"$8,083,575","6,792,780,005",21.15B,"$21,893,898"
1226,HOPRHOPR,,$0.04054,0.1%,0.4%,2.1%,18.8%,"$121,158","538,662,765",564.32M,"$21,833,777"
1227,STONSTON,,$0.5826,0.1%,4.4%,3.8%,16.9%,"$20,271.89","37,449,107",100M,"$21,833,522"
1229,Staked UTYYUTY,,$1.03,-,0.0%,0.1%,0.6%,"$10,214.86","21,138,997",21.14M,"$21,794,369"
1228,ADO ProtocolADO,,$0.05454,2.2%,23.4%,17.2%,82.9%,"$10,949,438","400,000,000",890M,"$21,816,396"
1230,Radiant CapitalRDNT,,$0.01684,0.7%,1.5%,27.4%,13.8%,"$5,146,430","1,292,073,967",1.5B,"$21,770,230"
1233,Wrapped 0GW0G,,$1.79,0.0%,3.3%,13.3%,-,"$62,870.77","12,139,349",12.14M,"$21,755,132"
1234,Ancient8A8,,$0.05841,1.1%,2.0%,11.2%,40.3%,"$5,140,067","372,179,826",1B,"$21,742,542"
1232,DRESSdioDRESS,,$0.06158,0.0%,5.0%,19.4%,14.4%,"$104,459","352,683,759",2B,"$21,738,426"
1235,LimeWireLMWR,,$0.05877,0.8%,1.4%,10.1%,25.8%,"$1,778,721","368,475,267",633.05M,"$21,655,369"
1236,zkVerifyVFY,,$0.07053,1.3%,0.6%,11.5%,-,"$8,130,355","306,194,145",1B,"$21,624,057"
1237,FwogFWOG,,$0.02217,0.6%,1.2%,8.0%,34.8%,"$1,412,884","975,635,328",975.64M,"$21,609,221"
1238,Bridged Tether (Avalanche)USDTE,,$0.9997,0.1%,0.2%,0.0%,0.1%,"$186,671","21,604,483",21.6M,"$21,596,175"
1239,Stronghold Staked SOLSTRONGSOL,,$215.27,0.4%,1.6%,2.8%,13.5%,"$15,919.13","99,965",99964.97,"$21,519,668"
1240,Gnosis xDAI Bridged USDC (Gnosis)USDC,,$1.00,0.0%,0.0%,0.0%,0.0%,"$585,205","21,479,185",21.48M,"$21,482,922"
1243,cDAICDAI,,$0.02498,0.0%,0.2%,0.2%,0.2%,$510.53,"858,056,804",858.06M,"$21,433,579"
1241,XPLAXPLA,,$0.0266,2.7%,2.2%,9.6%,16.3%,"$95,404.71","832,395,548",2B,"$21,431,984"
1244,USDHUSDH,,$0.9979,0.2%,0.4%,0.5%,-,"$2,356,273","21,359,849",100.02B,"$20,838,676"
1242,KarratKARRAT,,$0.02961,0.7%,3.2%,2.6%,32.5%,"$409,173","721,089,343",1B,"$21,370,320"
1245,KlerosPNK,,$0.02951,0.2%,0.4%,9.5%,6.4%,"$127,503","724,189,581",805.29M,"$21,368,356"
1246,DOGSHITDOGSHIT,,$0.000352,1.1%,2.0%,27.8%,6.2%,"$212,113","60,347,516,494",60.35B,"$21,281,710"
1247,SideShiftXAI,,$0.138,0.0%,0.4%,2.1%,15.5%,"$3,092.79","153,701,263",210M,"$21,203,345"
1249,OpenVPPOVPP,,$0.02644,3.1%,0.7%,40.2%,62.1%,"$1,267,058","800,000,000",1B,"$21,160,443"
1248,Assemble AIASM,,$0.01402,0.1%,2.3%,4.7%,19.8%,"$417,932","1,509,600,000",3B,"$21,164,920"
1250,AcalaACA,,$0.0181,0.7%,2.7%,6.3%,30.4%,"$4,597,152","1,166,666,660",1.6B,"$21,111,421"
