Rank,Name,Symbol,Price,Change_1h,Change_24h,Change_7d,Change_30d,Volume_24h,Circulating_Supply,Total_Supply,Market_Cap
972,SMARDEXSDEX,,$0.003559,0.1%,0.0%,2.4%,14.9%,"$374,310","9,304,463,386",9.97B,"$33,115,911"
973,ChainflipFLIP,,$0.4913,0.0%,0.3%,4.7%,25.6%,"$153,706","67,144,940",94.52M,"$32,959,638"
974,XT Stablecoin XTUSDXTUSD,,$0.9999,0.0%,0.0%,0.0%,0.0%,"$5,335,262","32,800,030",32.8M,"$32,792,201"
975,TradoorTRADOOR,,$2.28,0.8%,3.1%,10.8%,8.0%,"$14,034,456","14,349,000",60M,"$32,755,416"
976,Nirvana ANAANA,,$4.29,0.0%,1.3%,1.3%,9.3%,"$14,859.79","7,635,521",7.64M,"$32,749,289"
977,CarrotCRT,,$112.28,0.0%,0.0%,0.1%,0.7%,"$49,632.55","291,444",291444.5,"$32,720,879"
979,Hyperbeat Ultra HYPEHBHYPE,,$39.83,1.3%,8.3%,3.3%,18.6%,"$55,619.96","820,848",820848.16,"$32,692,185"
978,GoldfinchGFI,,$0.3513,0.3%,3.3%,9.5%,29.1%,"$538,664","93,391,145",114.29M,"$32,679,476"
980,ReiREI,,$0.03254,0.3%,1.2%,12.4%,47.7%,"$1,242,102","1,000,000,000",1B,"$32,546,514"
981,Openverse NetworkBTG,,$17.06,0.2%,7.4%,68.1%,-,"$62,155,888","1,900,000",20M,"$32,412,283"
982,GlidrGLIDR,,$1.16,0.5%,0.1%,0.0%,2.3%,"$105,559","27,955,000",100M,"$32,364,540"
984,Apu ApustajaAPU,,$0.00009582,0.6%,6.5%,24.4%,34.6%,"$1,066,062","337,891,886,152",337.89B,"$32,370,648"
985,Keep NetworkKEEP,,$0.05879,3.6%,4.0%,5.5%,20.5%,"$3,377.76","549,716,300",1B,"$32,316,763"
983,TurtleTURTLE,,$0.1663,0.5%,38.9%,-,-,"$163,692,912","195,000,000",1B,"$32,306,118"
986,UsualUSUAL,,$0.03075,1.3%,1.1%,7.8%,45.8%,"$9,591,027","1,048,664,296",1.47B,"$32,274,903"
987,Nest Basis VaultNBASIS,,$1.04,0.0%,0.0%,0.1%,0.7%,"$50,885.90","31,096,494",31.1M,"$32,208,333"
988,TruFin Staked APTTRUAPT,,$3.26,1.0%,3.3%,8.7%,25.7%,$196.23,"9,876,766",9.88M,"$32,224,092"
989,ZerebroZEREBRO,,$0.03219,1.6%,2.9%,18.7%,68.0%,"$11,228,097","999,952,932",999.95M,"$32,199,407"
991,EnsoENSO,,$1.56,0.1%,0.9%,33.0%,-,"$40,166,669","20,590,000",100M,"$32,065,310"
990,Camp NetworkCAMP,,$0.01522,1.8%,2.9%,14.6%,60.6%,"$6,807,510","2,100,000,000",10B,"$32,038,495"
992,DolomiteDOLO,,$0.07954,1.0%,1.5%,7.8%,37.0%,"$6,630,045","401,764,760",998.53M,"$31,956,653"
993,ANyONe ProtocolANYONE,,$0.3998,1.5%,0.1%,22.2%,3.3%,"$701,459","79,937,690",100M,"$31,897,026"
995,Yooldo GamesESPORTS,,$0.21,1.4%,1.2%,1.4%,29.2%,"$7,031,811","151,800,000",900M,"$31,880,100"
994,DODODODO,,$0.03187,1.2%,1.3%,11.9%,28.2%,"$4,140,710","1,000,000,000",1B,"$31,862,296"
997,Law BlocksLBT,,$0.13,0.1%,0.1%,0.0%,0.9%,"$334,758","244,997,999",1B,"$31,836,443"
996,Wrapped XPLWXPL,,$0.3534,1.4%,6.3%,24.7%,-,"$16,302,827","89,868,520",89.87M,"$31,778,765"
998,Compound USDCCUSDC,,$0.02524,0.0%,0.0%,0.0%,0.2%,$44.70,"1,257,658,914",1.26B,"$31,746,475"
1001,DefiwayDEFI,,$0.3155,-,-,-,-,$1.04,"100,000,000",100M,"$31,550,925"
1000,Banana For ScaleBANANAS31,,$0.003148,1.2%,1.3%,12.2%,40.9%,"$6,912,613","10,000,000,000",10B,"$31,478,794"
1004,EGL1EGL1,,$0.03231,0.6%,2.2%,15.8%,9.4%,"$12,647,595","966,096,396",1B,"$31,428,831"
999,Vanar ChainVANRY,,$0.01606,1.5%,1.4%,15.0%,34.7%,"$3,721,648","1,957,065,081",2.04B,"$31,419,221"
1003,Boba NetworkBOBA,,$0.06331,0.8%,0.4%,7.8%,26.6%,"$5,343,857","493,599,306",500M,"$31,298,368"
1002,Newton ProtocolNEWT,,$0.1456,0.7%,0.6%,6.1%,34.5%,"$8,254,335","215,000,000",1B,"$31,302,428"
1005,TCYTCY,,$0.1488,0.2%,5.4%,8.1%,25.7%,"$314,549","210,000,000",210M,"$31,245,276"
1006,Laine Staked SOLLAINESOL,,$239.64,0.3%,1.7%,2.6%,13.4%,"$2,726.31","130,356",130355.58,"$31,238,832"
1007,DacxiDXI,,$0.0006241,0.0%,1.3%,15.3%,7.2%,"$332,977","10,000,000,000",10B,"$34,491,744"
1009,PolySwarmNCT,,$0.01636,0.7%,1.7%,3.5%,23.7%,"$214,905","1,885,500,782",1.89B,"$30,845,948"
1008,Celer NetworkCELR,,$0.005461,1.1%,1.4%,8.6%,22.5%,"$2,033,518","5,645,454,936",10B,"$30,832,836"
1010,KujiraKUJI,,$0.1191,0.5%,0.6%,12.4%,41.7%,"$1,750.82","122,342,246",122.37M,"$28,541,290"
1011,Aria.AIARIA,,$0.1671,0.5%,2.1%,6.9%,9.1%,"$55,808,950","183,000,000",1B,"$30,594,591"
1012,Wrapped ZedxionWZEDX,,$0.4991,0.3%,1.7%,1.8%,3.0%,"$1,156,602","61,274,618",4.51B,"$30,584,646"
1013,HashflowHFT,,$0.04931,0.9%,1.8%,12.3%,37.5%,"$10,111,947","618,263,231",1B,"$30,470,237"
1014,RadixXRD,,$0.002534,0.1%,0.5%,0.8%,38.4%,"$320,218","12,021,683,200",13.27B,"$30,454,855"
1015,Origin TokenOGN,,$0.04677,0.9%,0.6%,8.1%,19.5%,"$4,198,153","650,207,225",1.41B,"$30,403,627"
1016,WalletConnect TokenWCT,,$0.163,1.6%,2.8%,3.1%,42.1%,"$29,630,373","186,200,000",1000M,"$30,374,798"
1018,PhoenixPHB,,$0.5089,2.2%,1.4%,7.8%,0.3%,"$6,420,526","59,451,656",59.45M,"$30,305,742"
1019,stake.linkSDL,,$0.5351,0.5%,2.2%,3.5%,21.1%,"$15,354.67","56,560,124",100M,"$30,296,730"
1020,ScrollSCR,,$0.1594,1.5%,1.9%,16.3%,42.8%,"$9,931,086","190,000,000",1B,"$30,282,226"
1017,Hypurr FunHFUN,,$30.36,0.4%,0.2%,0.5%,25.4%,"$227,247","996,152",996152.36,"$30,267,978"
1021,Naoris ProtocolNAORIS,,$0.05046,1.5%,10.2%,6.2%,19.7%,"$2,920,578","599,260,000",4B,"$30,173,087"
1022,Elephant MoneyELEPHANT,,$0.076022,0.9%,1.1%,6.1%,6.2%,"$65,726.64","497,107,210,220,627",1000T,"$30,135,932"
1023,Bridged Tether (Rainbow Bridge)USDT.E,,$1.00,0.0%,0.0%,0.0%,0.1%,"$23,476.04","30,131,756",30.13M,"$30,136,751"
1025,INFINITIN,,$0.1335,1.2%,1.9%,28.8%,125.5%,"$20,209,108","228,333,333",1B,"$30,106,201"
1026,Lift DollarUSDL,,$0.999,0.1%,1.0%,0.1%,0.1%,"$87,425.68","30,142,711",30.14M,"$30,098,554"
1024,NeutronNTRN,,$0.04927,1.1%,2.3%,8.0%,42.7%,"$976,204","610,955,618",999.73M,"$30,094,637"
1027,"Not in Employment, Education, or TrainingNEET",,$0.02997,0.8%,11.1%,5.2%,123.5%,"$2,107,969","999,805,336",999.81M,"$30,021,471"
1035,BugsCoinBGSC,,$0.002715,2.7%,6.5%,13.3%,58.9%,"$14,364,999","11,079,975,739",29.44B,"$29,970,042"
1030,UranusURANUS,,$0.2992,1.0%,35.0%,23.2%,15.7%,"$5,168,802","99,992,702",99.99M,"$29,932,685"
1029,OraichainORAI,,$1.55,0.6%,6.1%,8.9%,30.3%,"$2,056,663","19,277,887",19.5M,"$29,860,801"
1032,Solv Protocol SolvBTC.CORESOLVBTC.CORE,,"$83,635.29",-,-,-,-,$225.10,2,1.74,"$29,290,878"
1036,CAT TerminalCAT,,$0.02956,0.1%,0.4%,14.4%,4.9%,"$284,284","999,966,524",999.97M,"$29,698,974"
1031,AvalonAVL,,$0.1166,2.5%,4.9%,10.4%,22.6%,"$18,077,723","254,250,001",1B,"$29,665,171"
1033,OasysOAS,,$0.005426,0.1%,0.2%,7.3%,46.8%,"$664,811","5,463,535,423",10B,"$29,651,802"
1038,IncryptINC,,$0.004582,0.3%,1.7%,5.5%,56.9%,"$131,776","6,459,600,000",21B,"$29,650,947"
1034,Planet IXIXT,,$0.1955,2.7%,14.4%,34.5%,51.3%,"$518,840","151,655,470",153.26M,"$29,609,021"
1037,SapienSAPIEN,,$0.1184,1.8%,1.0%,10.0%,43.7%,"$5,882,647","250,000,000",1B,"$29,566,349"
1028,SaucerSwapSAUCE,,$0.03471,0.3%,0.2%,15.8%,35.0%,"$126,758","861,413,949",1B,"$29,441,201"
1039,ThenaTHE,,$0.2506,0.4%,0.8%,13.5%,44.0%,"$8,265,570","117,376,855",267.25M,"$29,396,606"
1040,ANDY ETHANDY,,$0.00002938,0.6%,3.1%,19.8%,41.7%,"$690,992","1,000,000,000,000",1T,"$29,348,901"
1041,EverlynLYN,,$0.1404,1.1%,10.2%,19.7%,-,"$2,786,669","209,000,000",1B,"$29,327,792"
1042,GXChainGXC,,$0.3905,0.2%,0.8%,2.7%,8.3%,"$7,880.03","75,000,000",100M,"$29,286,920"
1044,KusamaKSM,,$10.67,0.9%,0.1%,7.8%,25.8%,"$12,643,567","1,949,595",20747.15,"$26,048,749"
1045,ShardusULT,,$0.06651,0.1%,0.4%,3.6%,9.2%,$34.88,"439,556,760",1B,"$29,234,780"
1047,Etherlink Bridged USDC (Etherlink)USDC,,$1.00,0.1%,0.1%,0.4%,0.0%,"$2,173,555","29,198,989",29.2M,"$29,200,862"
1046,My Neighbor AliceALICE,,$0.3171,1.0%,3.6%,22.4%,2.4%,"$17,596,128","92,083,333",100M,"$29,198,389"
1049,zkSync Bridged USDC (zkSync)USDC,,$0.9998,0.0%,0.0%,0.0%,0.0%,"$617,896","29,201,681",29.2M,"$29,194,716"
1048,SuperRareRARE,,$0.0356,0.9%,0.2%,7.0%,31.1%,"$7,530,375","819,553,453",1B,"$29,157,079"
1043,BankrCoinBNKR,,$0.0002913,0.9%,7.4%,33.3%,46.8%,"$1,953,037","100,000,000,000",100B,"$29,134,254"
1050,CargoXCXO,,$0.1741,0.1%,1.8%,6.2%,12.2%,"$13,746.67","167,160,148",215.12M,"$29,112,464"
1051,Midas mTBILLMTBILL,,$1.04,0.0%,0.0%,0.1%,0.3%,$172.84,"27,896,825",27.9M,"$29,018,245"
1053,AutonolasOLAS,,$0.1607,0.1%,1.0%,0.8%,27.8%,"$195,818","180,452,899",471.19M,"$28,997,746"
1054,OHO BlockchainOHO,,$0.001201,0.3%,1.6%,2.1%,3.2%,"$280,945","24,144,156,937",45B,"$28,974,138"
1055,MomofunMM,,$0.003707,0.6%,2.6%,8.7%,16.3%,"$4,260,850","7,800,000,000",30B,"$28,926,167"
1052,τemplarSN3,,$9.67,4.2%,4.2%,9.9%,13.6%,"$33,758.68","2,978,303",2.98M,"$28,907,312"
1057,CaliberCAL50,,$0.2877,0.0%,0.1%,0.3%,21.1%,"$5,386.79","100,000,000",100M,"$28,770,676"
1056,TharwaTRWA,,$0.004092,0.6%,4.4%,29.1%,38.6%,"$490,327","7,002,510,980",10B,"$28,652,975"
1059,Hylo USDHYUSD,,$0.9983,0.0%,0.2%,0.2%,0.1%,"$968,365","28,669,016",28.67M,"$28,636,293"
1058,Hypha Staked AVAXSTAVAX,,$22.11,0.6%,0.5%,11.2%,43.8%,"$344,343","1,294,115",1.29M,"$28,629,410"
1060,Maverick ProtocolMAV,,$0.03783,0.8%,0.7%,10.6%,43.1%,"$2,920,209","753,995,104",2B,"$28,558,382"
1061,Wrapped QUILQUIL,,$0.03167,1.4%,8.5%,1.9%,9.6%,"$334,169","902,285,400",902.29M,"$28,551,011"
1062,EverscaleEVER,,$0.01433,0.1%,2.1%,17.9%,16.8%,"$234,088","1,985,523,041",2.12B,"$28,465,726"
1063,Binance-Peg ZECZEC,,$236.36,0.3%,14.5%,3.0%,-,"$1,101,793","120,000",120000,"$28,396,128"
1064,Polyhedra NetworkZKJ,,$0.07316,2.2%,6.8%,14.1%,49.7%,"$16,318,898","386,027,777",1B,"$28,196,799"
1068,CorgiAICORGIAI,,$0.000082,0.0%,1.6%,10.6%,32.3%,"$83,795.86","343,528,919,002",372.5B,"$28,174,355"
1065,BNB Attestation ServiceBAS,,$0.01126,3.4%,11.5%,87.5%,27.6%,"$53,890,428","2,500,000,000",10B,"$28,149,477"
1066,Tesla xStockTSLAX,,$424.44,0.1%,4.1%,2.5%,3.2%,"$17,339,974","66,268",97998.22,"$28,127,547"
1073,ManyuMANYU,,$0.072811,2.9%,13.2%,5.2%,49.2%,"$1,865,533","1,000,000,000,000,000",1000T,"$28,106,370"
1069,TreeTREE,,$0.2772,0.5%,3.2%,4.1%,3.7%,"$19,471.87","101,361,867",116.11M,"$28,100,606"
1067,ZND TokenZND,,$0.1808,0.1%,5.7%,2.9%,34.4%,"$3,164,504","155,274,284",694.11M,"$28,081,446"
1071,Six SigmaSIX,,$0.01867,1.2%,2.9%,13.2%,51.3%,"$4,672.02","1,499,999,997",1.5B,"$28,000,408"
1072,FoomFOOM,,$0.061598,0.4%,1.0%,0.5%,4.4%,"$570,300","175,000,000,000,000",175T,"$27,971,912"
1074,inSure DeFiSURE,,$0.001052,0.6%,15.5%,87.8%,25.6%,"$19,333.89","26,482,078,217",88B,"$27,864,732"
1075,AdrenaADX,,$0.02819,2.1%,24.9%,44.7%,0.1%,"$149,401","987,951,006",995.09M,"$27,852,599"
1076,MovieBlocMBL,,$0.001476,0.7%,0.9%,8.1%,27.5%,"$5,645,938","18,861,887,214",30B,"$27,830,574"
1070,ElixirELX,,$0.1065,3.8%,12.0%,5.2%,13.6%,"$9,600,865","259,270,213",1B,"$27,726,223"
1077,infiniFi Locked iUSD (1week)LIUSD,,$1.13,0.7%,0.0%,0.6%,0.6%,"$1,745,483","24,416,356",24.42M,"$27,502,755"
1078,MAIMIMATIC,,$0.997,0.0%,0.2%,0.4%,0.3%,"$17,520.60","27,563,987",302.38M,"$27,473,433"
1079,Bone ShibaSwapBONE,,$0.1097,0.4%,0.2%,2.2%,29.6%,"$2,335,379","249,892,048",250M,"$27,402,382"
1080,McDull (Meme)MCDULL,,$0.053072,0.0%,1.8%,4.8%,21.4%,"$1,722.08","8,888,885,105,500",8.89T,"$27,325,240"
1081,InitiaINIT,,$0.1621,1.0%,3.7%,12.9%,50.0%,"$20,414,617","168,058,066",1B,"$27,240,143"
1082,Soneium Bridged USDC (Soneium)USDC.E,,$0.9991,0.0%,0.1%,0.1%,0.1%,"$1,354,770","27,219,214",27.22M,"$27,192,731"
1083,L2 Standard Bridged WETH (Blast)WETH,,"$3,865.69",0.4%,1.2%,4.2%,8.3%,"$87,091.75","7,069",7069.21,"$27,158,073"
1084,Unit FartcoinUFART,,$0.3381,0.1%,5.4%,17.3%,45.8%,"$9,907.74","80,098,772",1B,"$27,078,626"
1085,MARBLEXMBX,,$0.1039,0.2%,0.6%,22.9%,32.9%,"$1,467,507","260,368,554",321.34M,"$27,067,430"
1086,Tether Gold TokensXAUT0,,"$4,119.61",0.2%,1.9%,2.9%,8.9%,"$3,092,420","6,564",6563.88,"$27,044,175"
1087,Monerium EUR emoneyEURE,,$1.16,0.3%,0.1%,0.4%,1.8%,"$55,834.31","23,306,196",23.31M,"$26,997,075"
1088,PaluPALU,,$0.02708,2.4%,7.2%,6.2%,-,"$8,110,385","1,000,000,000",1B,"$26,934,953"
1089,Aster Staked USDFASUSDF,,$1.04,0.3%,0.2%,0.2%,0.5%,"$189,936","25,750,125",25.75M,"$26,894,730"
1090,ROAM TokenROAM,,$0.08337,2.9%,0.7%,35.1%,24.3%,"$25,739,103","321,660,525",995.94M,"$26,814,389"
1091,NAVI ProtocolNAVX,,$0.03702,0.6%,0.7%,12.1%,1.1%,"$2,308,791","719,719,712",1B,"$26,607,879"
1092,Stader MaticXMATICX,,$0.2239,0.7%,1.4%,2.2%,16.2%,"$7,462.40","118,667,405",118.67M,"$26,568,521"
1093,Access ProtocolACS,,$0.0006011,0.4%,1.0%,20.2%,29.6%,"$702,601","43,892,031,538",89.37B,"$26,475,773"
1094,Bitcoin Limited EditionBTCLE,,$131.14,0.3%,0.2%,1.1%,4.1%,"$43,880.80","200,279",210000,"$26,385,827"
1095,MetadiumMETA,,$0.01522,0.9%,2.7%,13.9%,19.6%,"$742,679","1,721,008,720",2B,"$26,390,967"
1097,Aave USDC (Sonic)ASONUSDC,,$1.01,0.0%,0.0%,0.0%,0.0%,"$282,100","26,138,879",26.14M,"$26,303,540"
1098,Collector CryptCARDS,,$0.1214,2.7%,15.4%,0.1%,2.9%,"$2,509,073","216,278,389",2B,"$26,285,597"
1100,Hamster KombatHMSTR,,$0.0004076,1.0%,0.9%,9.4%,36.7%,"$5,108,395","64,375,000,000",100B,"$26,251,162"
1099,GoPlus SecurityGPS,,$0.008316,1.3%,1.4%,9.4%,25.3%,"$4,691,207","3,155,000,000",10B,"$26,235,953"
1102,MIAMIA,,$0.0478,0.7%,1.5%,9.9%,14.7%,"$36,171.49","548,320,000",1B,"$26,221,145"
1101,MakerDAO Arbitrum Bridged DAI (Arbitrum One)DAI,,$0.9983,0.4%,0.3%,0.3%,0.5%,"$3,222,287","26,270,317",26.27M,"$26,215,835"
1096,Unit SolanaUSOL,,$188.12,0.3%,1.5%,3.1%,14.0%,"$20,982,988","139,361",500M,"$26,215,592"
1104,sDOLASDOLA,,$1.16,0.1%,0.0%,0.2%,0.8%,"$138,130","22,508,348",22.61M,"$26,170,627"
1103,Kyros Restaked SOLKYSOL,,$232.57,0.2%,1.5%,2.8%,13.7%,"$67,591.99","112,444",112444.47,"$26,151,404"
1105,Yield Optimizer USDYOUSD,,$1.04,0.0%,0.0%,0.2%,0.8%,"$19,654.25","25,024,111",25.02M,"$26,105,443"
1106,Loan ProtocolLOAN,,$0.0009138,1.4%,0.7%,7.4%,26.1%,"$275,943","28,574,671,772",102.92B,"$26,080,624"
1107,Epic ChainEPIC,,$0.8682,1.6%,1.4%,13.4%,52.3%,"$6,626,255","30,000,000",30M,"$26,037,090"
1108,AVA (Travala)AVA,,$0.3706,0.9%,1.4%,7.0%,28.5%,"$6,028,425","69,949,531",69.95M,"$25,945,116"
1109,0xy0XY,,$0.02593,0.3%,12.0%,43.4%,51.1%,"$7,136.00","999,999,997",1000M,"$25,921,940"
1111,FiroFIRO,,$1.44,2.4%,5.7%,1.6%,141.1%,"$536,972","17,847,638",17.85M,"$25,836,710"
1110,AquariusAQUA,,$0.0007189,0.3%,0.4%,4.9%,20.6%,"$331,833","35,910,636,013",99.97B,"$25,814,064"
1112,MEDXTMEDXT,,$0.001229,0.3%,4.0%,31.7%,42.6%,"$14,535.87","20,863,460,801",25B,"$25,669,860"
1114,Just a chill guyCHILLGUY,,$0.02561,1.9%,0.6%,12.5%,34.1%,"$6,627,797","999,950,126",999.95M,"$25,628,379"
1116,Torch of LibertyLIBERTY,,$0.02557,1.8%,28.8%,19.2%,46.4%,"$1,501,479","1,000,000,000",1B,"$25,603,188"
1115,MinswapMIN,,$0.01454,1.1%,1.1%,11.9%,32.6%,"$106,087","1,758,109,731",2.5B,"$25,569,669"
1117,L2 Standard Bridged USDT (Base)USDT,,$0.9994,0.0%,0.0%,0.0%,0.1%,"$39,842,981","25,556,530",25.56M,"$25,536,849"
1113,BluwhaleBLUAI,,$0.02079,1.4%,11.1%,-,-,"$63,942,308","1,228,000,000",10B,"$25,460,437"
1118,BOTXCOINBOTX,,$0.01395,0.9%,8.3%,15.7%,28.5%,"$362,631","1,759,052,523",5B,"$25,392,881"
1119,EnzymeMLN,,$8.48,0.7%,3.6%,47.4%,16.3%,"$36,999,070","2,988,447",2.99M,"$25,341,109"
1120,StorjSTORJ,,$0.1762,0.8%,3.6%,4.3%,24.9%,"$13,615,717","143,787,439",425M,"$25,334,995"
