Rank,Name,Symbol,Price,Change_1h,Change_24h,Change_7d,Change_30d,Volume_24h,Circulating_Supply,Total_Supply,Market_Cap
39,Dai DAI,,$0.9999,0.1%,0.0%,0.2%,0.0%,"$74,069,164","4,691,235,464",4.69B,"$4,690,155,790"
40,Polkadot DOT,,$2.97,0.4%,0.4%,6.1%,26.1%,"$238,805,887","1,522,267,060",1.52B,"$4,517,965,128"
41,Zcash ZEC,,$234.83,1.0%,13.7%,1.3%,376.6%,"$714,205,810","16,344,194",16.35M,"$3,844,641,112"
42,MemeCore M,,$2.20,1.1%,1.4%,10.9%,8.2%,"$12,552,866","1,693,580,728",5.29B,"$3,727,128,191"
43,Uniswap UNI,,$6.17,0.6%,0.5%,6.7%,24.4%,"$253,075,902","600,483,074",1B,"$3,705,767,559"
44,Bittensor TAO,,$373.58,3.8%,3.9%,5.7%,17.9%,"$268,171,916","9,597,491",21M,"$3,592,451,077"
45,sUSDS SUSDS,,$1.07,0.1%,0.8%,0.3%,0.8%,"$42,450,147","3,218,569,054",3.22B,"$3,451,414,676"
46,World Liberty Financial WLFI,,$0.1253,1.1%,0.6%,12.1%,39.0%,"$133,645,603","27,256,577,359",100B,"$3,416,646,136"
47,OKB OKB,,$162.61,0.2%,1.5%,8.4%,11.1%,"$85,601,203","21,000,000",21M,"$3,411,993,831"
48,Aave AAVE,,$220.78,0.7%,0.8%,9.0%,18.5%,"$454,289,996","15,256,711",16M,"$3,368,841,552"
49,Ethena ENA,,$0.4638,0.4%,0.8%,6.5%,24.5%,"$463,675,983","7,156,250,000",15B,"$3,319,292,417"
50,ChainOpera AI COAI,,$16.51,0.6%,76.5%,28.8%,-,"$177,878,365","196,479,267",1B,"$3,297,024,802"
51,Bitget Token BGB,,$4.59,0.2%,0.3%,4.6%,11.3%,"$75,048,767","699,992,036",919.99M,"$3,214,788,787"
52,Pepe PEPE,,$0.056841,0.7%,0.6%,5.6%,29.5%,"$445,173,843","420,690,000,000,000",420.69T,"$2,877,402,653"
53,BlackRock USD Institutional Digital Liquidity Fund BUIDL,,$1.00,0.0%,0.0%,0.0%,0.0%,$0.00,"2,851,978,078",2.85B,"$2,852,855,658"
54,PayPal USD PYUSD,,$1.00,0.0%,0.0%,0.0%,0.0%,"$146,911,026","2,764,373,535",2.76B,"$2,765,284,843"
55,NEAR Protocol NEAR,,$2.18,0.8%,1.0%,6.7%,28.7%,"$177,464,883","1,249,836,992",1.28B,"$2,728,216,930"
56,Jito Staked SOL JITOSOL,,$232.95,0.4%,1.3%,3.0%,13.8%,"$39,179,925","11,536,215",11.54M,"$2,692,798,199"
57,USD1 USD1,,$1.00,0.0%,0.0%,0.0%,0.0%,"$269,392,471","2,669,798,073",2.67B,"$2,670,166,345"
58,Ethereum Classic ETC,,$15.65,0.7%,1.3%,5.3%,16.9%,"$65,076,007","154,022,116",154.02M,"$2,411,238,984"
59,Binance-Peg WETH WETH,,"$3,867.10",0.2%,1.0%,3.8%,7.1%,"$109,038,080","605,000",605000,"$2,340,829,783"
60,Aptos APT,,$3.22,0.8%,2.7%,8.5%,25.6%,"$356,677,126","718,147,007",1.18B,"$2,309,592,167"
61,Ondo ONDO,,$0.7169,0.8%,0.5%,6.2%,23.7%,"$121,283,053","3,159,107,529",10B,"$2,265,607,285"
62,Falcon USD USDF,,$0.9977,0.0%,0.1%,0.3%,0.1%,"$8,463,738","2,211,801,167",2.21B,"$2,205,715,554"
63,Tether Gold XAUT,,"$4,118.89",0.1%,1.8%,3.3%,8.2%,"$333,148,876","522,089",522089.3,"$2,150,441,995"
64,Jupiter Perpetuals Liquidity Provider Token JLP,,$5.42,0.4%,0.8%,1.5%,4.0%,"$64,887,523","396,102,766",396.1M,"$2,148,694,789"
65,Aster ASTER,,$1.01,0.9%,1.2%,20.6%,41.1%,"$684,070,169","2,017,700,000",8B,"$2,046,858,526"
66,POL (ex-MATIC) POL,,$0.1912,0.7%,1.4%,2.8%,16.4%,"$68,113,973","10,524,720,168",10.52B,"$2,012,697,016"
67,Worldcoin WLD,,$0.8547,1.0%,1.9%,9.5%,35.5%,"$169,615,551","2,219,102,379",10B,"$1,896,825,979"
68,Gate GT,,$15.81,0.3%,0.4%,1.2%,4.3%,"$2,509,293","117,344,474",300M,"$1,854,838,088"
69,HTX DAO HTX,,$0.051985,0.2%,0.5%,3.6%,14.0%,"$40,640,989","930,149,437,822,426",930.15T,"$1,846,151,470"
70,USDtb USDTB,,$0.9996,0.0%,0.1%,0.1%,0.1%,"$1,036,846","1,830,625,960",1.83B,"$1,829,081,683"
71,Provenance Blockchain HASH,,$0.03525,2.9%,0.1%,0.7%,19.6%,"$2,748.28","50,254,570,521",100B,"$1,814,995,772"
72,KuCoin KCS,,$13.42,0.2%,1.1%,5.5%,13.3%,"$7,602,355","129,775,852",142.28M,"$1,738,188,845"
