Rank,Name,Symbol,Price,Change_1h,Change_24h,Change_7d,Change_30d,Volume_24h,Circulating_Supply,Total_Supply,Market_Cap,Cluster,PC1,PC2
420,BlurBLUR,,0.05059,1.0%,2.2,8.8,33.3%,"$11,809,380","2,568,736,846",3B,130016950.0,0,-0.06363377426802015,-0.26037432371118535
421,Resolv Liquidity Provider TokenRLP,,1.25,0.0%,0.0,0.2,0.7%,"$1,015,059","103,973,854",103.97M,129859298.0,0,-0.46899298926097016,-0.31076057815016017
422,ZIGChainZIG,,0.09198,0.4%,1.4,2.7,0.5%,"$2,063,113","1,408,940,795",1.95B,129609504.0,0,-0.2772249837335973,-0.28581045957353246
423,Mina ProtocolMINA,,0.103,0.7%,1.7,14.4,38.2%,"$9,460,983","1,258,410,709",1.26B,129573337.0,0,0.012510593781829496,-0.2543721032609183
424,Hyperbeat USDTHBUSDT,,1.08,0.1%,0.2,0.2,3.7%,"$406,767","119,578,086",119.58M,129306660.0,0,-0.44952672690392154,-0.30825985280474505
425,Wrapped Aave Ethereum USDCWAETHUSDC,,1.15,0.0%,0.0,0.1,0.3%,"$11,793,449","112,058,088",112.06M,128710495.0,0,-0.47116425786075444,-0.3115077062327888
426,XPIN NetworkXPIN,,0.008184,10.6%,58.0,432.6,794.1%,"$125,015,515","15,465,000,000",100B,128250076.0,4,14.798486161970674,1.4966091909071846
427,GrassGRASS,,0.4089,1.2%,1.7,19.0,46.2%,"$26,709,983","313,360,158",1B,128140032.0,0,0.11502653057783459,-0.24425243077914105
429,Apollo Diversified Credit Securitize FundACRED,,1067.47,0.0%,0.1,0.2,0.4%,$0.00,"119,841",119840.7,127846988.0,0,-0.4651111444875174,-0.26742276957560396
431,KUB CoinKUB,,1.44,0.3%,0.2,0.5,6.9%,"$233,567","88,850,000",110M,127536611.0,0,-0.4427620649625397,-0.3083298663544517
430,MetaplexMPLX,,0.2225,0.1%,6.7,9.1,16.6%,"$6,264,435","572,712,653",1B,127489784.0,0,0.38053924976073195,-0.19885229099048657
428,Unit PlasmaUXPL,,0.3538,1.2%,6.5,25.1,-,"$14,412,039","360,063,796",10B,127393502.0,0,0.7174474797223112,-0.16427498516790998
432,ZetaChainZETA,,0.1173,1.4%,2.7,2.4,32.8%,"$11,920,640","1,072,093,750",2.1B,125867889.0,0,-0.1573748039985067,-0.27027725153940685
433,Yala StablecoinYU,,1.0,0.0%,0.1,0.1,1.7%,"$71,033.86","125,502,117",125.5M,125514538.0,0,-0.46129017446027665,-0.3115549891572434
434,MBG By Multibank GroupMBG,,0.958,0.4%,6.4,11.5,14.5%,"$19,822,792","129,958,261",995.14M,124349580.0,0,0.4049797647485079,-0.19873951227993547
435,MANTRAOM,,0.1137,0.5%,2.1,12.0,33.9%,"$26,408,235","1,089,389,658",1.71B,123876386.0,0,-0.0017891831494002012,-0.25699835117645126
436,OasisROSE,,0.01667,1.0%,1.2,13.9,37.7%,"$4,741,149","7,414,389,190",10B,123657428.0,0,-0.04693653630026724,-0.2650490771765913
437,Frax (prev. FXS)FRAX,,1.38,1.0%,0.5,6.6,44.1%,"$9,135,781","89,285,898",99.68M,122981698.0,0,-0.27752855949113187,-0.2919772945255024
438,Theo Short Duration US Treasury FundTHBILL,,1.01,0.1%,0.0,0.8,0.3%,"$5,619,121","121,063,551",121.06M,121993223.0,0,-0.45525001175336816,-0.3128580181140213
