Rank,Name,Symbol,Price,Change_1h,Change_24h,Change_7d,Change_30d,Volume_24h,Circulating_Supply,Total_Supply,Market_Cap,Cluster,PC1,PC2
544,MNEE USD StablecoinMNEE,,0.9993,0.0%,0.1,0.2,0.3%,"$101,203","84,675,559",84.68M,84789904.0,0,-0.4571019977931284,-0.3293852679954956
543,OrcaORCA,,1.41,0.8%,0.2,14.3,29.7%,"$8,757,754","60,157,220",75M,84772031.0,0,-0.1333567761415288,-0.29507030577268967
545,NillionNIL,,0.3231,0.7%,0.6,16.3,3.4%,"$21,414,315","260,267,500",1B,84158777.0,0,-0.04990090817301812,-0.2852097061869654
547,ONFAOFT,,0.7536,0.8%,8.2,7.5,7.0%,"$3,794,679","111,409,327",279.67M,83969129.0,0,0.4927879433477499,-0.20122654139362983
551,LagrangeLA,,0.4353,0.1%,3.9,9.0,18.3%,"$32,114,644","193,000,000",1B,83847695.0,0,0.1082705687126623,-0.2569727487303075
548,LoopringLRC,,0.06725,0.7%,1.4,8.1,20.3%,"$8,550,210","1,245,991,469",1.37B,83792642.0,0,-0.1547528368897888,-0.2935224519098021
549,sUSDaSUSDA,,1.04,0.0%,0.0,0.0,0.0%,$0.00,"82,977,720",82.98M,86026743.0,0,-0.47133542255643135,-0.33067845621877506
550,AltLayerALT,,0.0187,0.8%,0.9,9.7,35.8%,"$12,192,737","4,477,604,164",10B,83708917.0,0,-0.16771099404426107,-0.2967065128707193
546,Ridges AISN62,,27.05,3.9%,0.3,19.0,35.9%,"$8,204,713","3,087,607",3.09M,83523007.0,0,-0.01904422225914397,-0.28224076362782047
552,FulcromFUL,,0.005038,0.3%,0.2,7.2,26.5%,"$138,044","16,549,409,343",20B,83392299.0,0,-0.291409736810192,-0.31232056107003514
553,GMTGMT,,0.02679,0.8%,0.3,12.3,31.9%,"$25,036,229","3,111,400,155",5.07B,83307687.0,0,-0.16810209056970582,-0.299070008795661
554,ClearpoolCPOOL,,0.09912,0.4%,22.9,1.5,24.8%,"$32,255,662","836,446,855",1B,83214616.0,4,1.7879440835218878,-0.013277888117292518
555,BitDCABDCA,,1.1,0.5%,2.3,3.4,7.5%,"$657,241","75,431,915",142.67M,83164292.0,0,-0.17192992117386327,-0.2923492471885899
556,Enjin CoinENJ,,0.04363,1.1%,0.4,11.1,30.9%,"$7,410,627","1,894,298,840",1.94B,82671425.0,0,-0.18507792093558484,-0.3007777656376099
557,VaultBridge Bridged WBTC (Katana)VBWBTC,,109190.0,0.2%,1.5,2.0,3.3%,"$5,346,536",754,754.14,82457337.0,1,-0.8885583756518055,4.081631384196336
558,OntologyONT,,0.08969,0.8%,3.1,10.9,28.2%,"$7,137,765","918,864,523",1B,82422368.0,0,0.07290204225248588,-0.264192219231872
559,Reservoir rUSDRUSD,,0.9993,0.0%,0.3,0.2,0.2%,"$1,110.74","82,236,938",82.24M,82182730.0,0,-0.437537748772576,-0.32778901882541095
560,WavesWAVES,,0.8138,0.2%,0.7,1.6,19.4%,"$10,124,729","100,000,000",100M,81379600.0,0,-0.3674406182744862,-0.31937768931643234
561,COTICOTI,,0.03323,0.7%,1.2,10.2,29.7%,"$6,871,718","2,432,661,800",2.43B,80848868.0,0,-0.12727957705746967,-0.29267776994700856
565,Restaked Swell ETHRSWETH,,4036.35,0.4%,0.4,4.8,6.8%,"$57,433.58","19,920",19920.18,80489176.0,0,-0.3477483309518796,-0.154229910879674
564,VenusXVS,,4.79,1.0%,0.7,10.6,24.2%,"$6,534,583","16,747,237",29.75M,80348095.0,0,-0.16697012476235762,-0.298656235277537
563,NotcoinNOT,,0.0008086,0.4%,0.6,11.4,51.8%,"$14,408,804","99,433,648,793",102.46B,80344814.0,0,-0.15884551183723114,-0.298358152042823
566,Jelly-My-JellyJELLYJELLY,,0.08,2.1%,2.8,9.1,64.4%,"$8,248,576","999,999,099",1000M,80003025.0,0,0.003771947779420576,-0.273598594917915
567,Frax USDFRXUSD,,0.9995,0.0%,0.0,0.0,0.0%,"$2,221,934","79,359,997",79.55M,79318182.0,0,-0.4710121572427139,-0.3336557297787252
568,Amnis AptosAMAPT,,3.14,0.9%,3.3,8.9,27.2%,"$106,538","25,203,629",25.21M,79170438.0,0,0.0479374822716874,-0.26743028576793165
569,VanaVANA,,2.57,0.5%,1.8,10.5,36.4%,"$10,372,739","30,800,000",120M,79094464.0,0,-0.06221166969490425,-0.2843952965201046
570,SolarSXP,,0.1196,0.3%,0.5,9.5,26.9%,"$3,409,015","659,222,605",659.84M,78843587.0,0,-0.21080897096335102,-0.3048329851879635
573,Echelon PrimePRIME,,1.43,2.1%,9.4,33.1,19.1%,"$13,108,643","54,987,605",111.11M,78668019.0,0,1.1798205204104761,-0.12724672343396912
571,SomniaSOMI,,0.4877,1.3%,1.2,9.5,52.1%,"$27,625,970","160,200,000",1B,78110319.0,0,-0.14274024369751537,-0.2955090376852969
574,OG Fan TokenOG,,17.73,0.2%,2.1,5.3,6.5%,"$11,785,815","4,379,986",5M,77686758.0,0,-0.14888168932057552,-0.2924257626508807
575,Melania MemeMELANIA,,0.09526,0.1%,0.0,18.1,44.2%,"$7,680,242","809,997,108",1000M,77133999.0,0,-0.06778889677798608,-0.2923889932318685
576,BitlightLIGHT,,1.79,1.5%,5.3,83.1,-,"$43,662,735","43,056,972",420M,76921545.0,0,1.8949811337637634,-0.06766378859180983
577,Puff The DragonPUFF,,0.08622,0.1%,0.7,0.9,5.2%,"$35,107.29","888,888,888",888.89M,76628789.0,0,-0.38279780859663065,-0.32314902446337884
578,NeiroNEIRO,,0.0001821,1.1%,1.4,6.7,36.3%,"$35,182,278","420,690,000,000",420.69B,76586606.0,0,-0.1855854836574704,-0.29999110240505766
579,WOOWOO,,0.04015,1.0%,2.1,12.8,38.3%,"$8,665,737","1,905,073,375",2.21B,76513757.0,0,0.018309048423526455,-0.2761410789055934
580,Gama TokenGAMA,,0.7644,0.0%,0.0,0.0,0.0%,"$322,688","100,027,931",100.03M,76432492.0,0,-0.4708718929828157,-0.33494515416283005
581,BYUSDBYUSD,,1.0,32.1%,0.0,0.0,0.1%,"$74,231.73","76,312,582",76.31M,76292780.0,0,-0.4708664766888663,-0.33499765539111415
582,EUR CoinVertibleEURCV,,1.16,0.0%,0.0,0.5,1.8%,"$49,457,927","65,755,949",65.76M,76218603.0,0,-0.459728075686081,-0.33385639458891847
583,USDXUSDX,,0.6796,0.6%,2.2,2.2,4.7%,"$68,798.32","111,568,045",111.57M,75835787.0,0,-0.20801976857881058,-0.29979567144711644
584,Felix feUSDFEUSD,,0.9985,0.3%,0.3,0.1,0.8%,"$1,220,431","75,004,069",8.93B,75743043.0,0,-0.43945479554758404,-0.33087898151686457
585,OpenLedgerOPEN,,0.3481,1.6%,4.6,8.9,52.4%,"$43,810,439","215,500,000",1B,75247326.0,0,0.17449351368751845,-0.25139017440702577
586,Decentralized SocialDESO,,7.11,0.0%,1.3,3.6,28.9%,"$45,060.41","10,532,254",10.81M,74904569.0,0,-0.2643048742795193,-0.30906770531440964
587,Daku V2DAKU,,0.1238,0.3%,1.8,3.5,6.1%,"$1,504.10","599,999,752",600M,74704624.0,0,-0.2178867441905447,-0.3027890173006796
588,Omni Network [Old]OMNI,,1.84,0.9%,16.2,24.4,56.5%,"$337,904","40,452,796",100M,74358562.0,0,1.6471801935932324,-0.05586896005629952
589,CloudCLOUD,,0.1439,0.5%,7.7,1.5,34.0%,"$1,838,357","504,013,117",1B,72707287.0,0,0.3111082347120586,-0.22714084111415278
590,BORABORA,,0.06286,2.7%,2.1,4.5,25.5%,"$643,141","1,152,750,000",1.21B,72540416.0,0,-0.16635269458377053,-0.2972869289259623
593,QuantixAIQAI,,90.13,0.3%,1.5,3.8,10.6%,"$7,833,631","804,342",10M,72497940.0,0,-0.24075807013392891,-0.3035786285944719
591,NexpaceNXPC,,0.3377,0.7%,1.0,6.8,45.3%,"$13,275,881","214,612,089",1B,72490106.0,0,-0.22204036751960032,-0.30706640348230907
592,BSquared NetworkB2,,1.73,1.3%,4.4,2.6,151.5%,"$45,308,685","41,545,875",210M,72428742.0,0,0.014872774072621423,-0.2700509500182387
597,BIMBIM,,2.41,0.0%,1.7,4.0,7.8%,"$244,989","30,000,000",30M,72323136.0,0,-0.21636842483246754,-0.30396207179940987
596,io.netIO,,0.3276,1.3%,2.2,6.4,40.2%,"$25,428,674","220,649,405",800M,72297291.0,0,-0.11430737368369208,-0.29157040454512784
594,auraAURA,,0.07502,0.5%,1.2,5.4,16.2%,"$1,864,360","963,285,833",963.29M,72292576.0,0,-0.23377070402923136,-0.3076815410187324
595,PurrPURR,,0.1211,0.9%,6.9,3.8,32.8%,"$3,427,160","596,046,242",596.05M,72261552.0,0,0.2845993166073098,-0.23297864423618586
598,Bedrock BTCBRBTC,,109269.0,0.0%,0.0,0.0,0.0%,$0.00,621,620.64,67816617.0,1,-1.0786262411052716,4.052996489680244
599,CASHCASH,,0.9994,0.0%,0.0,0.0,-,"$4,892,737","71,896,290",71.9M,71851573.0,0,-0.4706526142142704,-0.3369676189311327
600,Rocket PoolRPL,,3.28,1.2%,1.4,11.0,39.3%,"$5,310,753","21,870,340",21.87M,71672977.0,0,-0.08959994163355538,-0.2919962705532733
601,Magic EdenME,,0.4281,0.8%,0.7,6.2,40.2%,"$7,693,332","167,136,322",1B,71555724.0,0,-0.2645167977787812,-0.31300753119447067
602,BOOK OF MEMEBOME,,0.001035,0.8%,0.4,9.2,40.2%,"$25,531,519","68,999,659,569",69B,71460862.0,0,-0.22685359206238542,-0.31018941029432023
603,Sui Bridged Ether (Sui)SBETH,,3859.23,0.7%,1.0,4.3,8.4%,"$3,390,344","18,460",18459.66,71279100.0,0,-0.2991386188639225,-0.1583436967339886
604,GAL (migrated to Gravity - G)GAL,,0.5576,0.5%,3.2,12.7,18.5%,"$3,292.57","127,749,331",200M,70985440.0,0,0.12325810787525546,-0.263666192653576
606,DegenDEGEN,,0.001916,1.9%,1.2,11.7,38.7%,"$11,298,105","36,965,730,333",36.97B,70786173.0,0,-0.09338769098719252,-0.293639236458881
605,BlastBLAST,,0.001461,2.0%,1.1,7.1,33.8%,"$3,966,120","48,321,454,362",100B,70646916.0,0,-0.2055489560505626,-0.30582050005528544
607,StatusSNT,,0.01784,0.2%,1.5,5.8,24.6%,"$5,438,231","3,960,483,788",6.8B,70612570.0,0,-0.19562285490971032,-0.30336580743366676
609,StrongholdSHX,,0.01308,0.1%,3.2,0.5,29.7%,"$3,074,907","5,374,948,823",-,70308102.0,0,-0.14841780508647484,-0.2924811766440908
608,COCACOCA,,0.6159,0.0%,0.2,4.0,13.6%,"$363,374","113,670,000",1B,70012842.0,0,-0.36203747651693957,-0.32570407810653934
611,Lista DAOLISTA,,0.2784,0.9%,1.5,19.5,9.7%,"$12,431,383","250,143,345",795.59M,69633189.0,0,0.10954157413945045,-0.27179389416665456
612,Staked HYPESTHYPE,,38.75,1.7%,8.1,1.5,19.4%,"$298,491","1,784,448",1.78M,69428156.0,0,0.3499286702356303,-0.22153828336501694
610,Launch Coin on BelieveLAUNCHCOIN,,0.06937,2.9%,4.6,14.1,17.6%,"$15,136,709","999,872,175",999.87M,69363466.0,0,0.2905898773080073,-0.24186680718747497
613,SparkSPK,,0.03724,0.5%,1.5,2.6,24.8%,"$29,423,242","1,863,376,800",10B,69312209.0,0,-0.26682895195328177,-0.31141529938142987
614,Ronin Bridged WETH (Ronin)WETH,,3865.2,0.5%,0.9,4.7,7.9%,"$1,716,169","17,900",378828.03,69196788.0,0,-0.29988235320638384,-0.15946953414465903
615,Kelp GainAGETH,,3952.89,0.6%,0.6,5.6,8.8%,"$7,965.62","17,213",17212.52,68041418.0,0,-0.30942854828527505,-0.1584846407243089
616,Resupply USDREUSD,,0.9912,0.1%,0.0,0.1,0.1%,"$360,462","68,581,131",68.58M,67936751.0,0,-0.4682369127243659,-0.3384708584996644
617,OrderlyORDER,,0.2082,0.8%,1.9,15.7,25.3%,"$7,583,554","325,171,189",1B,67742762.0,0,0.0638789354245341,-0.27600462324357583
618,TerraLUNA,,0.09841,1.0%,0.2,4.3,29.8%,"$14,757,896","687,660,230",1.08B,67721595.0,0,-0.35524283316276023,-0.32604054247977654
619,IOSTIOST,,0.002345,0.7%,1.6,6.5,24.1%,"$8,512,464","28,761,295,043",28.76B,67478139.0,0,-0.17016247529840098,-0.30174556914748635
620,Arbitrum Bridged USDC (Arbitrum)USDC.E,,0.9983,0.0%,0.1,0.1,0.1%,"$22,740,489","67,255,960",67.26M,67181758.0,0,-0.4584812443877184,-0.33742911448382606
621,ComedianBAN,,0.06688,0.3%,2.7,17.7,2.3%,"$9,139,290","999,961,859",999.96M,66897410.0,0,0.1862181263045341,-0.2607035959247817
623,HOMEHOME,,0.02418,1.2%,3.2,21.0,28.4%,"$18,221,634","2,759,026,852",10B,66705850.0,0,0.3083200999464934,-0.24620153504663697
624,ArdorARDR,,0.06681,1.0%,0.2,6.4,17.1%,"$4,420,129","998,466,231",998.47M,66712037.0,0,-0.30842402106452976,-0.3215851375381186
622,GIGADOTGDOT,,2.97,0.5%,0.5,6.2,26.1%,"$3,790,483","22,472,118",22.47M,66681334.0,0,-0.283734931995724,-0.31782013361994965
625,HiveHIVE,,0.1347,0.8%,0.6,7.6,27.0%,"$2,314,039","494,138,251",-,66638817.0,0,-0.24281773639403942,-0.3133069579245537
627,StratisSTRAX,,0.03153,0.2%,0.1,5.9,20.9%,"$573,152","2,097,832,042",2.17B,66125551.0,0,-0.32925065546917437,-0.32439077180664055
628,Tellor TributesTRB,,24.19,0.4%,0.9,4.7,25.3%,"$25,835,991","2,725,324",2.8M,65947758.0,0,-0.2783474643379064,-0.3152904573660371
629,Portal to BitcoinPTB,,0.03157,3.0%,6.4,12.2,47.2%,"$19,096,738","2,070,875,600",5.26B,65716625.0,0,0.4233983036879195,-0.2231491256000512
630,Solv Protocol SolvBTC JupiterSOLVBTC.JUP,,115738.0,0.1%,1.1,1.8,3.2%,"$1,069.52",567,567.05,65679639.0,1,-0.9675272734302478,4.331397487081632
632,Lorenzo Wrapped BitcoinENZOBTC,,108904.0,0.5%,0.9,3.4,2.1%,"$11,321.22",601,601.2,65472990.0,1,-0.9132847916874353,4.057614353616282
631,B3 (Base)B3,,0.002159,1.1%,2.2,3.6,19.4%,"$3,387,286","30,297,583,333",100B,65410776.0,0,-0.1763339834628133,-0.30117736249261584
633,Bancor NetworkBNT,,0.5875,1.0%,0.3,4.4,12.4%,"$379,755","110,693,416",110.69M,65084221.0,0,-0.34317206056093613,-0.3255808276186476
634,MetisMETIS,,9.76,2.3%,2.4,1.8,27.4%,"$11,212,642","6,652,834",10M,64984137.0,0,-0.19701763592055208,-0.30242555926023956
635,HarryPotterObamaSonic10Inu (ETH)BITCOIN,,0.06444,0.7%,3.8,5.1,2.7%,"$6,771,363","999,798,155",999.8M,64426841.0,0,0.01262984688874658,-0.27608661010233426
636,SirenSIREN,,0.08782,1.4%,2.3,14.2,5.9%,"$3,180,906","730,757,798",730.76M,64178300.0,0,0.06952149690095596,-0.27558833645624303
638,BalancerBAL,,0.9891,0.1%,1.4,4.8,13.4%,"$3,319,999","64,580,537",70.29M,63835176.0,0,-0.22729269806081465,-0.31004475413237337
639,HoneyHONEY,,0.9999,0.0%,0.0,0.1,0.1%,"$5,519,689","63,499,587",63.51M,63490863.0,0,-0.4680228766060789,-0.3404425245513359
640,Alchemy PayACH,,0.0128,0.7%,0.2,7.4,30.2%,"$13,951,183","4,943,691,067",10B,63306440.0,0,-0.28598829011522375,-0.32076242930955073
641,SWFTCOINSWFTC,,0.006316,0.3%,0.3,6.7,24.5%,"$926,350","10,000,000,000",10B,63154669.0,0,-0.291851600880092,-0.3210884911165664
642,BiconomyBICO,,0.06365,0.8%,0.2,10.1,31.9%,"$5,455,555","990,609,600",1B,63065123.0,0,-0.22584406672619672,-0.3145616716293322
643,Matrixdock GoldXAUM,,4111.28,0.0%,0.7,3.1,8.2%,"$489,551","15,110",15109.55,62996039.0,0,-0.3560264151389552,-0.1588187932894939
644,ORCIBPALMO,,0.02479,0.4%,3.0,4.0,34.9%,"$68,696.90","2,520,833,291",3.12B,62539179.0,0,-0.08953243748171416,-0.2905052478555084
645,TokenlonLON,,0.507,0.1%,0.4,1.5,9.8%,"$107,458","123,207,548",140.45M,62471249.0,0,-0.3979136107329287,-0.3321395737444923
646,Lorenzo ProtocolBANK,,0.1463,0.3%,5.3,5.3,69.4%,"$8,238,842","425,250,000",425.25M,62210736.0,0,0.1629806779059644,-0.2559540573748422
647,Solayer Staked SOLSSOL,,209.58,0.3%,1.6,2.7,13.6%,"$212,250","295,568",295568.18,62034399.0,0,-0.25569828540007844,-0.3046115047253902
650,VerasityVRA,,0.0007228,0.0%,1.8,24.0,40.3%,"$18,377,475","85,579,723,524",94.89B,61879362.0,0,0.23929602677022066,-0.26060572205040894
648,iExec RLCRLC,,0.8544,1.1%,0.3,4.1,22.6%,"$8,762,886","72,382,548",87M,61884188.0,0,-0.3497008854710337,-0.32769014433158505
651,Pax DollarUSDP,,0.9997,0.0%,0.1,0.0,0.0%,"$3,311,310","61,764,561",61.76M,61745418.0,0,-0.4604466179584597,-0.34007394468791363
649,PunkStrategyPNKSTR,,0.06484,0.1%,2.7,30.0,154.8%,"$1,083,570","951,310,249",951.31M,61686515.0,0,0.4604077635931727,-0.23428881467369694
652,IkaIKA,,0.02045,0.3%,2.5,12.5,34.6%,"$16,834,438","3,000,000,000",10B,61489698.0,0,0.05122859507000854,-0.27800120172086623
653,Wrapped Aave Plasma USDT0WAPLAUSDT0,,1.0,0.1%,0.0,0.2,-,"$2,430,321","61,282,491",61.28M,61475095.0,0,-0.46569866718441955,-0.34110308713578047
654,PowerledgerPOWR,,0.116,0.9%,0.1,6.9,22.1%,"$3,232,369","529,761,885",999.51M,61465829.0,0,-0.3067553049174282,-0.32411877674172573
655,Big TimeBIGTIME,,0.03219,0.9%,2.2,7.9,34.1%,"$7,821,879","1,908,245,060",5B,61450630.0,0,-0.08037626708412357,-0.29289022127855785
657,ZedxionZEDXION,,0.5018,0.2%,1.1,2.1,2.1%,"$582,993","122,323,850",4.76B,61378999.0,0,-0.31646265594672385,-0.32158858167086224
656,ai16zAI16Z,,0.05576,0.8%,2.7,13.3,40.7%,"$22,092,202","1,099,993,334",1.1B,61375933.0,0,0.08848973294739192,-0.2734291871168933
659,ConstellationDAG,,0.02153,0.2%,6.0,2.0,25.2%,"$1,584,309","2,870,562,881",3.55B,61289561.0,0,0.15756544698518415,-0.2544402981063649
660,ARKARK,,0.3191,0.8%,0.3,9.7,25.9%,"$1,512,971","191,704,250",192.13M,61193414.0,0,-0.22494458274437476,-0.31493946129490646
662,ConstitutionDAOPEOPLE,,0.01201,0.7%,0.0,5.3,30.2%,"$24,936,196","5,066,425,112",5.07B,60883118.0,0,-0.3520803219318521,-0.3294945084092599
663,ChromiaCHR,,0.07181,1.3%,1.6,1.0,17.0%,"$7,569,048","847,781,914",847.78M,60854853.0,0,-0.29233684460885845,-0.31752564945312023
664,MarinadeMNDE,,0.109,0.0%,1.2,6.2,20.8%,"$2,295,875","557,198,875",700M,60762708.0,0,-0.21539853956225355,-0.31092598635919516
666,OrbsORBS,,0.01291,0.2%,1.1,6.4,24.9%,"$4,524,815","4,723,576,836",10B,60732603.0,0,-0.22066161960614966,-0.3118524519930631
661,Ocean ProtocolOCEAN,,0.3033,1.0%,12.3,15.6,14.4%,"$1,831,208","200,081,035",267.86M,60677470.0,0,1.072804128246116,-0.1362285582914247
658,BlessBLESS,,0.03285,1.3%,12.8,77.6,33.6%,"$66,818,225","1,841,666,667",10B,60660606.0,4,2.502232445786032,0.01543356344499626
667,ErgoERG,,0.654,0.1%,6.7,0.5,11.6%,"$477,530","92,571,237",97.74M,60548842.0,0,0.19222590261127287,-0.24861222561495308
665,MiraMIRA,,0.2969,1.4%,1.8,9.1,-,"$17,986,395","203,900,836",1B,60541364.0,0,-0.09248563854467476,-0.2959857106528131
669,The Grays CurrencyPTGC,,0.0002069,0.3%,1.0,11.2,23.3%,"$37,943.92","290,766,417,349",290.77B,60251807.0,0,-0.12345484056913995,-0.30223234075701766
668,MythosMYTH,,0.07588,1.5%,0.3,66.7,5.0%,"$1,559,316","796,416,526",1B,60116684.0,0,1.044580660795197,-0.18230539257387327
671,NKYC TokenNKYC,,15.01,0.4%,0.8,4.0,7.8%,"$224,657","4,000,000",4M,60060448.0,0,-0.30332223598291763,-0.32128196422227123
672,TOMITOMI,,1.947e-05,98.8%,85.0,87.1,68.4%,"$338,881","3,056,053,232,594",3.06T,59883978.0,4,9.731221123604499,1.0309942753273948
673,DelysiumAGI,,0.0286,0.4%,3.0,12.3,33.9%,"$1,654,347","2,086,982,212",3B,59712355.0,0,0.09545660885923922,-0.27237460951562026
674,SongbirdSGB,,0.003723,1.0%,0.5,6.7,24.8%,"$199,805","15,994,589,162",18.92B,59550646.0,0,-0.27223933577710546,-0.3199345079800612
675,Coinshift USDL Morpho VaultCSUSDL,,1.04,0.0%,0.7,0.1,0.5%,$0.00,"56,932,574",56.93M,59459168.0,0,-0.39979349333182157,-0.33259480872090413
676,NominaNOM,,0.02042,1.0%,1.6,0.4,-,"$6,741,926","2,900,000,000",7.06B,59219129.0,0,-0.3056206565347009,-0.31965453411270073
679,OKZOOAIOT,,0.5236,1.1%,16.5,8.6,55.3%,"$4,331,572","112,516,666",1B,59018084.0,0,1.3251955321527786,-0.09549758338725195
677,SophonSOPH,,0.02927,1.9%,15.7,23.5,2.0%,"$45,502,891","2,000,000,000",10B,58620133.0,0,1.5793070730635046,-0.07190629921400597
678,CalderaERA,,0.335,1.2%,9.3,19.0,44.2%,"$23,283,817","174,750,000",1B,58574919.0,0,0.8570475188170721,-0.17050960191446463
680,GeodnetGEOD,,0.133,1.2%,3.1,4.3,24.6%,"$420,469","438,777,944",976.57M,58257059.0,0,-0.07292605701674244,-0.29032329141207797
682,SpellSPELL,,0.0003419,0.7%,0.9,6.0,25.1%,"$4,039,721","169,964,474,378",196.01B,58127433.0,0,-0.2488833824161497,-0.3166953763809925
681,SolayerLAYER,,0.2768,0.8%,1.2,7.1,37.8%,"$10,449,141","210,000,000",1B,58130451.0,0,-0.19522842604008422,-0.30998488713463684
683,MVLMVL,,0.002122,0.6%,3.3,8.8,22.2%,"$664,232","27,352,958,863",27.8B,58036066.0,0,0.046745494735883145,-0.2771643021545429
684,CoreumCOREUM,,0.08922,0.1%,0.5,10.9,35.2%,"$190,355","649,694,844",649.69M,57955131.0,0,-0.17862293702453402,-0.3108298293577414
685,AukiAUKI,,0.01957,0.2%,7.6,25.9,39.9%,"$283,755","2,945,930,523",9.99B,57640377.0,0,0.8455382165633906,-0.1782199344362594
687,GigachadGIGA,,0.005956,2.1%,4.8,26.3,44.1%,"$3,571,813","9,604,136,902",9.6B,57362498.0,0,0.5823183820136439,-0.2159471543881946
688,Elixir Staked deUSDSDEUSD,,1.06,0.0%,0.0,0.2,0.3%,"$46,639.25","53,663,182",53.66M,57116716.0,0,-0.4654891304478545,-0.3430338758666367
689,AevoAEVO,,0.06222,0.9%,1.9,10.6,41.4%,"$17,492,683","914,863,646",1B,56942933.0,0,-0.04918454435485049,-0.2927117224919924
691,Wiki CatWKC,,0.061036,0.6%,9.9,17.1,46.4%,"$503,052","544,106,739,897,073",544.11T,56932348.0,0,0.8731285186120197,-0.16742851473986262
690,Venice TokenVVV,,1.41,0.8%,2.5,12.4,34.6%,"$3,931,093","40,254,206",76.22M,56879743.0,0,0.049215702049899494,-0.2802236878165305
692,VNDCVNDC,,3.993e-05,0.5%,3.4,3.9,3.3%,$40.60,"1,422,830,000,000",1.42T,56809663.0,0,-0.052606138537169334,-0.28777579831035804
693,Alchemist AIALCH,,0.06673,0.2%,0.3,11.0,3.2%,"$19,275,609","850,000,000",999.95M,56738015.0,0,-0.1957757644413016,-0.313889736121181
695,Sanctum InfinityINF,,258.35,0.4%,1.5,2.4,13.4%,"$9,610,352","218,184",668264,56423933.0,0,-0.27210035256609516,-0.3072168740371406
694,CeliumSN51,,20.75,4.1%,4.2,7.2,6.0%,"$425,939","2,706,076",2.71M,56346225.0,0,0.0985512555492714,-0.26842959372113345
696,BonfidaFIDA,,0.05664,1.0%,2.3,9.2,30.5%,"$3,992,604","990,911,200",1B,56126987.0,0,-0.04144782824345397,-0.2908381449221159
697,Magic Internet Money (Ethereum)MIM,,0.9994,0.1%,0.0,0.8,1.0%,"$750,236","55,611,861",174.9M,139513098.0,0,-0.4560935939806013,-0.30508733767935003
698,Bridged Tether (opBNB)USDT,,0.9969,0.2%,0.2,1.8,0.8%,"$15,291.11","55,512,806",55.51M,55333774.0,0,-0.41032991685808373,-0.33733782481089297
699,Cronos Bridged WBTC (Cronos)WBTC,,109566.0,0.2%,1.7,1.6,2.8%,"$282,252",504,504.39,55279809.0,1,-0.8788123115916517,4.086507413726291
700,Osaka ProtocolOSAK,,0.077238,0.3%,1.5,25.6,51.0%,"$60,952.28","761,459,784,660,251",761.46T,55216534.0,0,0.24609268435625303,-0.2639502938818962
701,BounceAUCTION,,7.77,1.1%,4.6,23.2,12.2%,"$42,984,170","7,090,294",7.64M,55153415.0,0,0.49390137673450507,-0.2266075815054747
702,AudiusAUDIO,,0.04036,0.8%,0.4,9.9,28.9%,"$6,315,595","1,366,169,908",1.37B,55167711.0,0,-0.210479233093885,-0.31577998647304956
703,BUSDBUSD,,0.9975,0.1%,0.3,0.2,1.5%,"$161,417","55,026,240",55.03M,54943497.0,0,-0.436226077575027,-0.3398713109334235
704,HemiHEMI,,0.05613,0.8%,1.5,14.5,55.4%,"$19,995,571","977,500,000",10B,54840432.0,0,-0.001102064104144293,-0.29004161434675335
705,VaultBridge Bridged USDC (Katana)VBUSDC,,1.0,0.1%,0.1,0.3,0.0%,"$25,550,216","54,801,383",54.8M,54824300.0,0,-0.4534319125945593,-0.34244322091624924
706,Mezo Wrapped BTCBTC,,108969.0,0.0%,0.8,1.1,3.6%,"$8,817.05",503,503.04,54802898.0,1,-0.9740764329467572,4.048746135858294
707,StraitsX XUSDXUSD,,0.9999,0.0%,0.0,0.0,0.0%,"$37,732,331","54,553,081",54.55M,54539180.0,0,-0.46981896673198476,-0.3446466747040079
709,Freysa AIFAI,,0.006653,2.8%,6.6,25.7,34.0%,"$684,800","8,189,700,000",8.19B,54477977.0,0,0.7440427569645175,-0.1938536882799064
708,IQIQ,,0.002319,0.1%,1.4,11.4,27.9%,"$1,149,375","23,444,092,891",23.44B,54414054.0,0,-0.07984204735947728,-0.2988491819525074
710,Chain-key BitcoinCKBTC,,109264.0,0.5%,2.0,1.6,3.6%,"$21,245.23",497,496.84,54368235.0,1,-0.8479294761638164,4.07809397100421
711,SaiSAI,,20.27,0.4%,0.9,4.3,7.7%,$20.73,"2,671,294",2.67M,54214774.0,0,-0.2866692391310783,-0.3215864736557082
712,PYTHIAPYTHIA,,0.05403,0.5%,2.4,3.5,11.7%,"$982,447","998,377,564",998.38M,53943815.0,0,-0.1585705383768667,-0.3037424173090755
713,BLOCKvVEE,,0.01482,1.0%,16.9,29.7,2.1%,"$134,763","3,646,271,241",3.65B,53868513.0,4,1.834251112543967,-0.04301851498828374
714,ChintaiCHEX,,0.05362,0.9%,3.8,26.0,40.7%,"$1,580,854","998,921,892",998.92M,53566788.0,0,0.4786259373161508,-0.23209293036097772
715,aixbtAIXBT,,0.05362,0.7%,3.0,15.5,46.0%,"$19,749,096","994,658,423",1B,53318467.0,0,0.1670329627759432,-0.26773618922809617
716,EscoinELG,,0.2888,0.4%,0.4,0.9,0.4%,"$324,461","184,209,191",250M,53184663.0,0,-0.41082807934457,-0.33766877521084043
